,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
existential_there_quantifiers_1,21.0,11.0,26.0,7.0,12.0,49.0,20.0,20.0,5.0,43.0,35.0,32.0,8.0,7.0,1228.0,43.0,8.0,16.0,3.0,45.0,5.0,26.0,16.0,77.0,43.0,30.0,42.0,8.0,29.0,10.0,62.0,17.0,3.0,45.0,17.0,11.0,20.0,10.0,49.0,36.0,0.0,24.0,14.0,6.0,11.0,2.0,19.0,61.0,26.0,75.0,8.0,4.0,13.0,32.0,31.0,30.0,0.0,35.0,0.0,4.0,41.0,17.0,1.0,1.0,13.0,25.0,37.0
npi_present_2,24.0,22.0,3.0,3.0,1.0,24.0,22.0,29.0,17.0,36.0,10.0,7.0,0.0,10.0,43.0,1228.0,16.0,15.0,6.0,23.0,0.0,9.0,0.0,28.0,45.0,14.0,18.0,0.0,36.0,2.0,42.0,16.0,4.0,43.0,0.0,1.0,7.0,5.0,31.0,23.0,11.0,21.0,3.0,25.0,22.0,4.0,11.0,21.0,29.0,49.0,1.0,12.0,6.0,902.0,25.0,28.0,2.0,21.0,11.0,11.0,6.0,19.0,3.0,3.0,18.0,21.0,25.0
wh_island,64.0,43.0,3.0,2.0,0.0,5.0,2.0,9.0,57.0,8.0,6.0,3.0,0.0,12.0,8.0,16.0,1228.0,32.0,2.0,5.0,9.0,7.0,0.0,5.0,9.0,1.0,3.0,0.0,18.0,2.0,4.0,7.0,23.0,7.0,0.0,0.0,31.0,36.0,13.0,4.0,31.0,7.0,0.0,6.0,58.0,60.0,6.0,13.0,9.0,1.0,0.0,20.0,10.0,19.0,5.0,50.0,17.0,2.0,21.0,9.0,7.0,143.0,11.0,9.0,10.0,19.0,2.0
wh_questions_object_gap,38.0,36.0,28.0,19.0,53.0,19.0,23.0,221.0,15.0,163.0,17.0,26.0,48.0,95.0,16.0,15.0,32.0,1228.0,13.0,7.0,19.0,16.0,72.0,8.0,174.0,28.0,24.0,47.0,23.0,11.0,11.0,41.0,61.0,8.0,61.0,55.0,30.0,38.0,4.0,19.0,7.0,278.0,56.0,23.0,16.0,44.0,3.0,37.0,33.0,13.0,45.0,8.0,1.0,15.0,22.0,50.0,6.0,15.0,107.0,7.0,31.0,31.0,2.0,3.0,26.0,4.0,1.0
tough_vs_raising_1,0.0,14.0,41.0,17.0,255.0,19.0,14.0,7.0,8.0,1.0,2.0,21.0,256.0,82.0,3.0,6.0,2.0,13.0,1228.0,30.0,259.0,7.0,214.0,1.0,0.0,19.0,19.0,257.0,5.0,19.0,5.0,106.0,83.0,0.0,220.0,247.0,73.0,4.0,11.0,16.0,96.0,0.0,244.0,3.0,2.0,90.0,21.0,2.0,51.0,2.0,265.0,3.0,10.0,7.0,12.0,1.0,202.0,6.0,74.0,140.0,11.0,2.0,188.0,227.0,32.0,1.0,9.0
passive_1,2.0,44.0,78.0,29.0,47.0,127.0,127.0,21.0,8.0,31.0,56.0,86.0,48.0,19.0,45.0,23.0,5.0,7.0,30.0,1228.0,15.0,40.0,54.0,49.0,43.0,140.0,157.0,40.0,24.0,14.0,122.0,287.0,5.0,34.0,54.0,46.0,23.0,13.0,44.0,123.0,5.0,30.0,53.0,24.0,4.0,8.0,32.0,27.0,197.0,96.0,47.0,10.0,28.0,16.0,142.0,2.0,7.0,73.0,2.0,7.0,79.0,7.0,18.0,22.0,47.0,8.0,56.0
ellipsis_n_bar_2,10.0,27.0,36.0,29.0,396.0,7.0,9.0,1.0,16.0,5.0,3.0,22.0,441.0,83.0,5.0,0.0,9.0,19.0,259.0,15.0,1228.0,2.0,312.0,3.0,5.0,8.0,14.0,415.0,1.0,18.0,9.0,136.0,184.0,4.0,332.0,393.0,127.0,28.0,1.0,10.0,112.0,0.0,390.0,6.0,8.0,153.0,10.0,2.0,75.0,8.0,445.0,4.0,1.0,0.0,9.0,8.0,192.0,13.0,118.0,121.0,4.0,14.0,146.0,187.0,32.0,3.0,5.0
only_npi_scope,5.0,14.0,33.0,12.0,8.0,24.0,66.0,17.0,12.0,24.0,40.0,26.0,8.0,35.0,26.0,9.0,7.0,16.0,7.0,40.0,2.0,1228.0,11.0,31.0,44.0,67.0,29.0,3.0,15.0,4.0,58.0,23.0,0.0,25.0,8.0,8.0,14.0,13.0,17.0,27.0,8.0,10.0,7.0,5.0,0.0,1.0,12.0,15.0,21.0,43.0,7.0,13.0,53.0,7.0,44.0,2.0,8.0,39.0,4.0,13.0,17.0,8.0,14.0,14.0,17.0,4.0,184.0
determiner_noun_agreement_with_adj_irregular_1,0.0,20.0,147.0,72.0,842.0,85.0,82.0,6.0,10.0,7.0,22.0,59.0,781.0,146.0,16.0,0.0,0.0,72.0,214.0,54.0,312.0,11.0,1228.0,5.0,8.0,60.0,89.0,800.0,2.0,48.0,22.0,222.0,193.0,8.0,1020.0,845.0,138.0,22.0,12.0,75.0,86.0,7.0,886.0,5.0,0.0,113.0,11.0,0.0,121.0,13.0,752.0,9.0,7.0,0.0,54.0,0.0,155.0,27.0,154.0,107.0,42.0,0.0,105.0,141.0,87.0,0.0,18.0
existential_there_subject_raising,6.0,22.0,30.0,15.0,4.0,62.0,106.0,20.0,7.0,36.0,14.0,51.0,6.0,18.0,77.0,28.0,5.0,8.0,1.0,49.0,3.0,31.0,5.0,1228.0,32.0,99.0,72.0,3.0,12.0,18.0,125.0,9.0,2.0,131.0,3.0,4.0,1.0,11.0,57.0,72.0,13.0,25.0,6.0,44.0,6.0,2.0,9.0,29.0,29.0,170.0,6.0,25.0,7.0,20.0,86.0,4.0,2.0,47.0,3.0,13.0,35.0,1.0,6.0,8.0,13.0,11.0,28.0
wh_vs_that_no_gap,2.0,14.0,25.0,13.0,7.0,50.0,60.0,307.0,9.0,852.0,35.0,28.0,7.0,10.0,43.0,45.0,9.0,174.0,0.0,43.0,5.0,44.0,8.0,32.0,1228.0,64.0,60.0,5.0,2.0,21.0,99.0,20.0,0.0,77.0,12.0,6.0,28.0,4.0,14.0,46.0,1.0,307.0,12.0,51.0,16.0,0.0,7.0,41.0,58.0,84.0,7.0,21.0,23.0,26.0,52.0,10.0,0.0,59.0,2.0,3.0,72.0,13.0,0.0,0.0,10.0,7.0,21.0
distractor_agreement_relational_noun,1.0,61.0,129.0,31.0,42.0,318.0,527.0,12.0,5.0,48.0,60.0,80.0,41.0,34.0,30.0,14.0,1.0,28.0,19.0,140.0,8.0,67.0,60.0,99.0,64.0,1228.0,227.0,38.0,25.0,29.0,88.0,68.0,4.0,45.0,61.0,40.0,7.0,18.0,49.0,293.0,7.0,37.0,52.0,21.0,5.0,1.0,38.0,31.0,39.0,115.0,44.0,16.0,20.0,5.0,402.0,6.0,20.0,86.0,2.0,19.0,48.0,3.0,14.0,12.0,60.0,3.0,74.0
regular_plural_subject_verb_agreement_1,1.0,27.0,168.0,46.0,76.0,435.0,193.0,42.0,9.0,71.0,52.0,133.0,64.0,30.0,42.0,18.0,3.0,24.0,19.0,157.0,14.0,29.0,89.0,72.0,60.0,227.0,1228.0,58.0,10.0,42.0,74.0,76.0,10.0,22.0,83.0,71.0,17.0,32.0,74.0,481.0,8.0,66.0,72.0,27.0,7.0,8.0,79.0,39.0,71.0,84.0,63.0,9.0,24.0,1.0,482.0,0.0,13.0,77.0,5.0,16.0,130.0,11.0,16.0,19.0,82.0,5.0,67.0
determiner_noun_agreement_irregular_1,0.0,14.0,104.0,56.0,857.0,50.0,42.0,2.0,8.0,4.0,19.0,58.0,884.0,146.0,8.0,0.0,0.0,47.0,257.0,40.0,415.0,3.0,800.0,3.0,5.0,38.0,58.0,1228.0,1.0,41.0,17.0,206.0,222.0,3.0,818.0,836.0,151.0,10.0,14.0,45.0,101.0,5.0,904.0,3.0,0.0,134.0,8.0,4.0,122.0,10.0,871.0,7.0,3.0,0.0,36.0,0.0,181.0,18.0,170.0,129.0,30.0,0.0,124.0,164.0,86.0,0.0,9.0
superlative_quantifiers_1,22.0,18.0,7.0,6.0,2.0,17.0,20.0,7.0,20.0,5.0,23.0,10.0,2.0,13.0,29.0,36.0,18.0,23.0,5.0,24.0,1.0,15.0,2.0,12.0,2.0,25.0,10.0,1.0,1228.0,6.0,10.0,10.0,7.0,11.0,2.0,2.0,9.0,26.0,29.0,20.0,29.0,19.0,2.0,15.0,21.0,11.0,25.0,11.0,15.0,20.0,2.0,13.0,7.0,31.0,11.0,15.0,7.0,7.0,14.0,5.0,7.0,18.0,14.0,19.0,12.0,18.0,19.0
principle_A_domain_3,0.0,144.0,245.0,577.0,43.0,77.0,57.0,6.0,9.0,21.0,13.0,64.0,41.0,13.0,10.0,2.0,2.0,11.0,19.0,14.0,18.0,4.0,48.0,18.0,21.0,29.0,42.0,41.0,6.0,1228.0,24.0,28.0,28.0,15.0,43.0,46.0,8.0,24.0,11.0,53.0,14.0,11.0,38.0,0.0,0.0,14.0,11.0,11.0,38.0,32.0,37.0,10.0,6.0,2.0,48.0,1.0,18.0,26.0,17.0,23.0,36.0,0.0,22.0,13.0,35.0,0.0,10.0
expletive_it_object_raising,1.0,13.0,38.0,20.0,16.0,94.0,107.0,24.0,3.0,85.0,55.0,48.0,21.0,27.0,62.0,42.0,4.0,11.0,5.0,122.0,9.0,58.0,22.0,125.0,99.0,88.0,74.0,17.0,10.0,24.0,1228.0,58.0,2.0,59.0,21.0,17.0,25.0,8.0,21.0,71.0,2.0,17.0,24.0,22.0,2.0,2.0,12.0,42.0,47.0,513.0,19.0,19.0,46.0,25.0,84.0,6.0,0.0,119.0,4.0,2.0,32.0,4.0,1.0,1.0,10.0,8.0,39.0
passive_2,3.0,44.0,115.0,42.0,223.0,80.0,83.0,25.0,8.0,26.0,35.0,46.0,220.0,78.0,17.0,16.0,7.0,41.0,106.0,287.0,136.0,23.0,222.0,9.0,20.0,68.0,76.0,206.0,10.0,28.0,58.0,1228.0,63.0,6.0,231.0,225.0,89.0,13.0,12.0,53.0,25.0,20.0,226.0,9.0,1.0,67.0,11.0,2.0,227.0,25.0,220.0,10.0,19.0,6.0,58.0,2.0,29.0,52.0,75.0,19.0,29.0,10.0,52.0,63.0,53.0,3.0,11.0
ellipsis_n_bar_1,17.0,21.0,45.0,36.0,215.0,8.0,11.0,2.0,10.0,0.0,5.0,22.0,210.0,66.0,3.0,4.0,23.0,61.0,83.0,5.0,184.0,0.0,193.0,2.0,0.0,4.0,10.0,222.0,7.0,28.0,2.0,63.0,1228.0,2.0,208.0,208.0,71.0,50.0,4.0,10.0,40.0,5.0,215.0,3.0,12.0,84.0,1.0,12.0,36.0,1.0,211.0,0.0,0.0,6.0,7.0,125.0,84.0,3.0,71.0,53.0,27.0,30.0,46.0,57.0,23.0,6.0,1.0
tough_vs_raising_2,2.0,18.0,6.0,20.0,3.0,47.0,32.0,29.0,8.0,59.0,24.0,16.0,3.0,23.0,45.0,43.0,7.0,8.0,0.0,34.0,4.0,25.0,8.0,131.0,77.0,45.0,22.0,3.0,11.0,15.0,59.0,6.0,2.0,1228.0,5.0,3.0,6.0,7.0,45.0,41.0,3.0,27.0,4.0,8.0,7.0,3.0,1.0,16.0,33.0,60.0,4.0,13.0,27.0,41.0,38.0,6.0,2.0,45.0,0.0,8.0,34.0,2.0,3.0,1.0,6.0,10.0,27.0
determiner_noun_agreement_with_adj_irregular_2,0.0,19.0,139.0,67.0,862.0,80.0,84.0,9.0,10.0,11.0,25.0,65.0,807.0,152.0,17.0,0.0,0.0,61.0,220.0,54.0,332.0,8.0,1020.0,3.0,12.0,61.0,83.0,818.0,2.0,43.0,21.0,231.0,208.0,5.0,1228.0,844.0,147.0,21.0,18.0,73.0,89.0,7.0,962.0,9.0,0.0,113.0,14.0,1.0,122.0,13.0,800.0,9.0,6.0,0.0,54.0,0.0,159.0,29.0,148.0,109.0,47.0,0.0,108.0,148.0,89.0,0.0,14.0
determiner_noun_agreement_with_adj_2,0.0,24.0,121.0,64.0,1116.0,66.0,59.0,5.0,9.0,5.0,14.0,57.0,983.0,142.0,11.0,1.0,0.0,55.0,247.0,46.0,393.0,8.0,845.0,4.0,6.0,40.0,71.0,836.0,2.0,46.0,17.0,225.0,208.0,3.0,844.0,1228.0,149.0,21.0,6.0,62.0,94.0,6.0,817.0,4.0,0.0,118.0,9.0,1.0,123.0,10.0,963.0,5.0,2.0,1.0,40.0,0.0,177.0,21.0,153.0,118.0,42.0,0.0,115.0,164.0,89.0,0.0,14.0
animate_subject_passive,35.0,17.0,26.0,12.0,151.0,28.0,17.0,19.0,28.0,12.0,14.0,19.0,151.0,49.0,20.0,7.0,31.0,30.0,73.0,23.0,127.0,14.0,138.0,1.0,28.0,7.0,17.0,151.0,9.0,8.0,25.0,89.0,71.0,6.0,147.0,149.0,1228.0,58.0,15.0,20.0,25.0,10.0,155.0,15.0,20.0,63.0,17.0,14.0,44.0,8.0,149.0,26.0,8.0,5.0,13.0,32.0,34.0,15.0,56.0,24.0,39.0,19.0,32.0,38.0,19.0,9.0,13.0
anaphor_gender_agreement,52.0,17.0,92.0,17.0,20.0,26.0,18.0,6.0,19.0,5.0,6.0,29.0,19.0,25.0,10.0,5.0,36.0,38.0,4.0,13.0,28.0,13.0,22.0,11.0,4.0,18.0,32.0,10.0,26.0,24.0,8.0,13.0,50.0,7.0,21.0,21.0,58.0,1228.0,11.0,27.0,57.0,14.0,17.0,2.0,25.0,42.0,23.0,28.0,11.0,7.0,19.0,10.0,21.0,8.0,25.0,60.0,19.0,6.0,28.0,8.0,54.0,40.0,5.0,5.0,9.0,19.0,5.0
irregular_past_participle_adjectives,9.0,13.0,9.0,11.0,6.0,64.0,33.0,33.0,10.0,31.0,5.0,54.0,2.0,11.0,49.0,31.0,13.0,4.0,11.0,44.0,1.0,17.0,12.0,57.0,14.0,49.0,74.0,14.0,29.0,11.0,21.0,12.0,4.0,45.0,18.0,6.0,15.0,11.0,1228.0,68.0,15.0,14.0,15.0,16.0,26.0,0.0,55.0,53.0,16.0,20.0,2.0,9.0,27.0,21.0,61.0,5.0,15.0,2.0,2.0,24.0,4.0,10.0,3.0,14.0,15.0,22.0,20.0
regular_plural_subject_verb_agreement_2,1.0,32.0,132.0,41.0,62.0,766.0,221.0,38.0,6.0,42.0,24.0,97.0,55.0,22.0,36.0,23.0,4.0,19.0,16.0,123.0,10.0,27.0,75.0,72.0,46.0,293.0,481.0,45.0,20.0,53.0,71.0,53.0,10.0,41.0,73.0,62.0,20.0,27.0,68.0,1228.0,9.0,49.0,62.0,15.0,5.0,1.0,57.0,46.0,43.0,68.0,53.0,4.0,25.0,13.0,711.0,14.0,13.0,41.0,4.0,15.0,100.0,3.0,16.0,16.0,68.0,2.0,49.0
drop_argument,29.0,33.0,15.0,19.0,97.0,11.0,2.0,0.0,23.0,2.0,8.0,15.0,105.0,22.0,0.0,11.0,31.0,7.0,96.0,5.0,112.0,8.0,86.0,13.0,1.0,7.0,8.0,101.0,29.0,14.0,2.0,25.0,40.0,3.0,89.0,94.0,25.0,57.0,15.0,9.0,1228.0,0.0,100.0,2.0,24.0,53.0,10.0,9.0,22.0,3.0,102.0,6.0,6.0,8.0,7.0,11.0,380.0,8.0,43.0,243.0,3.0,22.0,92.0,116.0,15.0,23.0,9.0
wh_questions_subject_gap,13.0,19.0,8.0,9.0,7.0,48.0,30.0,578.0,12.0,324.0,12.0,27.0,6.0,8.0,24.0,21.0,7.0,278.0,0.0,30.0,0.0,10.0,7.0,25.0,307.0,37.0,66.0,5.0,19.0,11.0,17.0,20.0,5.0,27.0,7.0,6.0,10.0,14.0,14.0,49.0,0.0,1228.0,8.0,28.0,12.0,10.0,12.0,48.0,39.0,24.0,6.0,16.0,4.0,20.0,46.0,22.0,1.0,16.0,4.0,4.0,31.0,12.0,0.0,0.0,13.0,13.0,8.0
determiner_noun_agreement_irregular_2,0.0,15.0,111.0,51.0,834.0,71.0,63.0,6.0,11.0,9.0,24.0,54.0,864.0,148.0,14.0,3.0,0.0,56.0,244.0,53.0,390.0,7.0,886.0,6.0,12.0,52.0,72.0,904.0,2.0,38.0,24.0,226.0,215.0,4.0,962.0,817.0,155.0,17.0,15.0,62.0,100.0,8.0,1228.0,5.0,0.0,125.0,15.0,1.0,116.0,12.0,866.0,10.0,6.0,0.0,48.0,0.0,175.0,29.0,160.0,123.0,37.0,0.0,112.0,153.0,83.0,0.0,12.0
