,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
sentential_negation_npi_licensor_present,18.0,3.0,6.0,18.0,15.0,19.0,19.0,14.0,9.0,79.0,768.0,32.0,12.0,2.0,21.0,6.0,9.0,7.0,42.0,19.0,25.0,27.0,19.0,0.0,76.0,5.0,11.0,5.0,9.0,28.0,11.0,13.0,8.0,9.0,21.0,13.0,15.0,7.0,15.0,18.0,4.0,31.0,18.0,0.0,3.0,2.0,11.0,48.0,28.0,6.0,14.0,3.0,21.0,2.0,28.0,16.0,15.0,320.0,9.0,20.0,21.0,3.0,3.0,11.0,19.0,20.0,18.0
principle_A_case_2,22.0,3.0,21.0,17.0,65.0,73.0,83.0,8.0,24.0,58.0,32.0,768.0,54.0,0.0,14.0,22.0,18.0,14.0,36.0,92.0,25.0,14.0,64.0,33.0,59.0,44.0,43.0,47.0,18.0,25.0,40.0,76.0,23.0,56.0,70.0,59.0,19.0,8.0,18.0,58.0,27.0,38.0,49.0,14.0,34.0,0.0,4.0,46.0,125.0,85.0,58.0,5.0,4.0,15.0,78.0,22.0,26.0,70.0,3.0,28.0,49.0,5.0,33.0,33.0,51.0,5.0,3.0
determiner_noun_agreement_2,22.0,0.0,23.0,10.0,586.0,160.0,155.0,12.0,36.0,13.0,12.0,54.0,768.0,4.0,9.0,32.0,22.0,6.0,29.0,36.0,20.0,0.0,468.0,31.0,34.0,177.0,88.0,548.0,7.0,29.0,5.0,54.0,29.0,43.0,487.0,579.0,21.0,7.0,82.0,188.0,69.0,11.0,541.0,4.0,11.0,0.0,11.0,33.0,60.0,77.0,677.0,18.0,7.0,36.0,171.0,13.0,88.0,25.0,5.0,88.0,101.0,0.0,37.0,30.0,50.0,5.0,0.0
principle_A_reconstruction,12.0,22.0,0.0,19.0,3.0,1.0,1.0,34.0,63.0,7.0,2.0,0.0,4.0,768.0,1.0,7.0,25.0,194.0,25.0,1.0,24.0,9.0,4.0,1.0,10.0,0.0,0.0,1.0,12.0,13.0,7.0,28.0,44.0,6.0,4.0,4.0,16.0,3.0,2.0,0.0,10.0,4.0,3.0,16.0,108.0,11.0,11.0,4.0,2.0,9.0,4.0,5.0,3.0,6.0,0.0,38.0,8.0,2.0,204.0,14.0,11.0,9.0,41.0,37.0,15.0,21.0,18.0
existential_there_quantifiers_1,1.0,0.0,14.0,2.0,17.0,15.0,9.0,7.0,0.0,6.0,21.0,14.0,9.0,1.0,768.0,12.0,9.0,3.0,3.0,10.0,0.0,6.0,10.0,27.0,3.0,30.0,26.0,7.0,2.0,8.0,14.0,8.0,0.0,3.0,12.0,19.0,4.0,4.0,12.0,12.0,14.0,2.0,4.0,1.0,3.0,0.0,11.0,8.0,3.0,12.0,16.0,9.0,57.0,14.0,14.0,7.0,13.0,17.0,4.0,10.0,6.0,0.0,4.0,4.0,4.0,4.0,4.0
npi_present_2,2.0,8.0,20.0,19.0,31.0,30.0,26.0,14.0,0.0,23.0,6.0,22.0,32.0,7.0,12.0,768.0,1.0,15.0,18.0,20.0,4.0,9.0,36.0,36.0,36.0,22.0,43.0,25.0,5.0,16.0,13.0,20.0,15.0,18.0,35.0,25.0,8.0,19.0,9.0,24.0,20.0,18.0,34.0,35.0,10.0,4.0,5.0,12.0,27.0,24.0,34.0,12.0,2.0,442.0,36.0,19.0,14.0,18.0,13.0,27.0,30.0,4.0,6.0,7.0,37.0,3.0,11.0
wh_island,24.0,8.0,18.0,3.0,29.0,20.0,17.0,10.0,15.0,17.0,9.0,18.0,22.0,25.0,9.0,1.0,768.0,16.0,23.0,25.0,25.0,13.0,30.0,17.0,13.0,27.0,42.0,14.0,14.0,16.0,21.0,16.0,22.0,4.0,32.0,22.0,4.0,20.0,17.0,21.0,11.0,19.0,30.0,4.0,25.0,12.0,14.0,8.0,18.0,21.0,25.0,3.0,0.0,2.0,33.0,9.0,23.0,13.0,18.0,24.0,19.0,64.0,14.0,11.0,6.0,3.0,5.0
wh_questions_object_gap,13.0,11.0,1.0,33.0,4.0,1.0,2.0,107.0,64.0,27.0,7.0,14.0,6.0,194.0,3.0,15.0,16.0,768.0,12.0,6.0,11.0,10.0,5.0,4.0,36.0,0.0,0.0,3.0,32.0,6.0,1.0,54.0,38.0,12.0,4.0,4.0,21.0,6.0,4.0,0.0,14.0,96.0,4.0,21.0,73.0,4.0,4.0,14.0,13.0,11.0,2.0,3.0,7.0,7.0,0.0,51.0,4.0,0.0,172.0,6.0,6.0,12.0,0.0,3.0,27.0,7.0,9.0
tough_vs_raising_1,28.0,0.0,10.0,14.0,30.0,7.0,6.0,13.0,13.0,11.0,42.0,36.0,29.0,25.0,3.0,18.0,23.0,12.0,768.0,43.0,53.0,0.0,27.0,2.0,8.0,5.0,22.0,23.0,19.0,25.0,43.0,32.0,28.0,0.0,25.0,31.0,25.0,4.0,8.0,6.0,40.0,13.0,27.0,1.0,25.0,0.0,8.0,11.0,55.0,14.0,34.0,1.0,0.0,15.0,14.0,16.0,54.0,58.0,13.0,49.0,3.0,25.0,70.0,101.0,19.0,12.0,0.0
passive_1,28.0,3.0,8.0,9.0,38.0,50.0,69.0,4.0,6.0,42.0,19.0,92.0,36.0,1.0,10.0,20.0,25.0,6.0,43.0,768.0,16.0,8.0,42.0,27.0,26.0,55.0,34.0,37.0,10.0,15.0,34.0,168.0,14.0,29.0,50.0,37.0,10.0,6.0,26.0,42.0,33.0,20.0,41.0,7.0,13.0,1.0,15.0,32.0,154.0,56.0,42.0,5.0,2.0,6.0,44.0,24.0,25.0,21.0,3.0,20.0,24.0,8.0,16.0,17.0,20.0,12.0,3.0
ellipsis_n_bar_2,90.0,5.0,3.0,19.0,15.0,0.0,1.0,33.0,10.0,15.0,25.0,25.0,20.0,24.0,0.0,4.0,25.0,11.0,53.0,16.0,768.0,2.0,18.0,8.0,13.0,0.0,4.0,11.0,16.0,17.0,6.0,21.0,114.0,9.0,21.0,17.0,38.0,1.0,3.0,0.0,24.0,27.0,25.0,12.0,22.0,1.0,15.0,11.0,30.0,8.0,26.0,9.0,4.0,2.0,1.0,27.0,39.0,24.0,14.0,31.0,3.0,18.0,59.0,99.0,30.0,15.0,3.0
only_npi_scope,13.0,9.0,5.0,2.0,0.0,3.0,2.0,10.0,1.0,17.0,27.0,14.0,0.0,9.0,6.0,9.0,13.0,10.0,0.0,8.0,2.0,768.0,3.0,2.0,17.0,1.0,1.0,3.0,21.0,6.0,6.0,16.0,14.0,5.0,3.0,0.0,15.0,16.0,11.0,2.0,5.0,8.0,0.0,7.0,9.0,22.0,16.0,13.0,19.0,2.0,0.0,0.0,20.0,4.0,2.0,29.0,5.0,40.0,12.0,4.0,3.0,10.0,0.0,1.0,1.0,4.0,197.0
determiner_noun_agreement_with_adj_irregular_1,15.0,0.0,40.0,10.0,549.0,147.0,156.0,10.0,38.0,14.0,19.0,64.0,468.0,4.0,10.0,36.0,30.0,5.0,27.0,42.0,18.0,3.0,768.0,45.0,28.0,192.0,123.0,435.0,10.0,16.0,4.0,57.0,34.0,65.0,618.0,536.0,18.0,6.0,71.0,172.0,54.0,13.0,527.0,7.0,19.0,0.0,12.0,27.0,61.0,74.0,469.0,20.0,11.0,31.0,169.0,12.0,79.0,26.0,7.0,62.0,80.0,1.0,34.0,28.0,73.0,6.0,0.0
existential_there_subject_raising,13.0,19.0,32.0,29.0,41.0,62.0,75.0,2.0,29.0,44.0,0.0,33.0,31.0,1.0,27.0,36.0,17.0,4.0,2.0,27.0,8.0,2.0,45.0,768.0,31.0,61.0,27.0,26.0,0.0,21.0,53.0,28.0,24.0,76.0,33.0,39.0,8.0,6.0,47.0,68.0,24.0,3.0,26.0,8.0,15.0,0.0,5.0,30.0,38.0,169.0,26.0,33.0,0.0,25.0,77.0,14.0,24.0,8.0,10.0,24.0,44.0,3.0,23.0,14.0,27.0,2.0,1.0
wh_vs_that_no_gap,18.0,6.0,6.0,36.0,25.0,29.0,31.0,68.0,8.0,500.0,76.0,59.0,34.0,10.0,3.0,36.0,13.0,36.0,8.0,26.0,13.0,17.0,28.0,31.0,768.0,2.0,5.0,20.0,15.0,23.0,30.0,7.0,25.0,36.0,30.0,28.0,31.0,9.0,10.0,23.0,39.0,108.0,22.0,11.0,17.0,0.0,4.0,60.0,54.0,30.0,30.0,16.0,1.0,22.0,19.0,24.0,38.0,81.0,18.0,39.0,19.0,4.0,0.0,0.0,11.0,12.0,2.0
distractor_agreement_relational_noun,6.0,3.0,92.0,6.0,180.0,301.0,261.0,0.0,8.0,7.0,5.0,44.0,177.0,0.0,30.0,22.0,27.0,0.0,5.0,55.0,0.0,1.0,192.0,61.0,2.0,768.0,202.0,168.0,0.0,8.0,0.0,42.0,6.0,48.0,185.0,180.0,3.0,5.0,91.0,348.0,24.0,0.0,153.0,0.0,4.0,0.0,7.0,5.0,33.0,45.0,176.0,3.0,2.0,15.0,408.0,0.0,20.0,9.0,0.0,26.0,111.0,2.0,3.0,4.0,23.0,0.0,0.0
regular_plural_subject_verb_agreement_1,7.0,2.0,133.0,5.0,92.0,147.0,115.0,0.0,3.0,11.0,11.0,43.0,88.0,0.0,26.0,43.0,42.0,0.0,22.0,34.0,4.0,1.0,123.0,27.0,5.0,202.0,768.0,72.0,0.0,18.0,5.0,31.0,0.0,20.0,97.0,85.0,9.0,27.0,52.0,153.0,26.0,6.0,97.0,2.0,0.0,0.0,20.0,11.0,46.0,28.0,82.0,20.0,0.0,39.0,209.0,0.0,28.0,24.0,0.0,24.0,96.0,3.0,4.0,6.0,40.0,0.0,0.0
determiner_noun_agreement_irregular_1,10.0,0.0,18.0,6.0,492.0,143.0,121.0,8.0,30.0,8.0,5.0,47.0,548.0,1.0,7.0,25.0,14.0,3.0,23.0,37.0,11.0,3.0,435.0,26.0,20.0,168.0,72.0,768.0,3.0,26.0,8.0,49.0,20.0,42.0,465.0,494.0,11.0,3.0,91.0,161.0,42.0,7.0,527.0,6.0,11.0,0.0,9.0,22.0,47.0,74.0,541.0,12.0,7.0,28.0,152.0,8.0,57.0,22.0,5.0,52.0,94.0,2.0,31.0,19.0,44.0,4.0,0.0
superlative_quantifiers_1,11.0,27.0,2.0,9.0,7.0,1.0,3.0,11.0,9.0,9.0,9.0,18.0,7.0,12.0,2.0,5.0,14.0,32.0,19.0,10.0,16.0,21.0,10.0,0.0,15.0,0.0,0.0,3.0,768.0,2.0,2.0,18.0,27.0,1.0,6.0,4.0,12.0,5.0,15.0,1.0,6.0,23.0,2.0,22.0,21.0,18.0,10.0,13.0,2.0,5.0,7.0,4.0,9.0,4.0,1.0,15.0,16.0,3.0,15.0,10.0,4.0,17.0,12.0,22.0,4.0,14.0,13.0
principle_A_domain_3,4.0,27.0,17.0,169.0,30.0,16.0,18.0,12.0,7.0,33.0,28.0,25.0,29.0,13.0,8.0,16.0,16.0,6.0,25.0,15.0,17.0,6.0,16.0,21.0,23.0,8.0,18.0,26.0,2.0,768.0,30.0,19.0,12.0,31.0,17.0,25.0,12.0,3.0,8.0,13.0,14.0,13.0,28.0,1.0,31.0,1.0,4.0,18.0,23.0,26.0,35.0,15.0,4.0,12.0,17.0,10.0,26.0,31.0,14.0,33.0,10.0,3.0,35.0,34.0,26.0,5.0,5.0
expletive_it_object_raising,4.0,2.0,9.0,20.0,6.0,0.0,7.0,2.0,14.0,42.0,11.0,40.0,5.0,7.0,14.0,13.0,21.0,1.0,43.0,34.0,6.0,6.0,4.0,53.0,30.0,0.0,5.0,8.0,2.0,30.0,768.0,34.0,3.0,50.0,5.0,7.0,16.0,29.0,6.0,0.0,8.0,11.0,4.0,31.0,11.0,0.0,15.0,26.0,50.0,163.0,6.0,17.0,2.0,25.0,0.0,9.0,3.0,13.0,8.0,10.0,11.0,7.0,12.0,5.0,13.0,13.0,0.0
passive_2,5.0,6.0,27.0,14.0,58.0,59.0,43.0,5.0,11.0,8.0,13.0,76.0,54.0,28.0,8.0,20.0,16.0,54.0,32.0,168.0,21.0,16.0,57.0,28.0,7.0,42.0,31.0,49.0,18.0,19.0,34.0,768.0,28.0,39.0,67.0,59.0,31.0,12.0,37.0,55.0,19.0,18.0,59.0,15.0,48.0,3.0,19.0,21.0,98.0,65.0,58.0,5.0,0.0,9.0,37.0,43.0,17.0,3.0,26.0,8.0,28.0,15.0,20.0,33.0,28.0,7.0,9.0
ellipsis_n_bar_1,34.0,14.0,6.0,25.0,26.0,13.0,30.0,28.0,24.0,25.0,8.0,23.0,29.0,44.0,0.0,15.0,22.0,38.0,28.0,14.0,114.0,14.0,34.0,24.0,25.0,6.0,0.0,20.0,27.0,12.0,3.0,28.0,768.0,31.0,35.0,25.0,19.0,4.0,4.0,13.0,38.0,17.0,33.0,10.0,36.0,2.0,13.0,18.0,26.0,17.0,28.0,9.0,2.0,11.0,4.0,51.0,31.0,15.0,21.0,14.0,18.0,16.0,30.0,31.0,37.0,21.0,1.0
tough_vs_raising_2,8.0,10.0,23.0,39.0,34.0,44.0,45.0,5.0,14.0,36.0,9.0,56.0,43.0,6.0,3.0,18.0,4.0,12.0,0.0,29.0,9.0,5.0,65.0,76.0,36.0,48.0,20.0,42.0,1.0,31.0,50.0,39.0,31.0,768.0,60.0,31.0,20.0,4.0,37.0,36.0,31.0,18.0,46.0,21.0,20.0,0.0,23.0,19.0,34.0,84.0,42.0,10.0,1.0,13.0,29.0,9.0,53.0,14.0,4.0,24.0,4.0,6.0,29.0,21.0,25.0,3.0,8.0
determiner_noun_agreement_with_adj_irregular_2,14.0,0.0,19.0,7.0,576.0,150.0,155.0,10.0,30.0,15.0,21.0,70.0,487.0,4.0,12.0,35.0,32.0,4.0,25.0,50.0,21.0,3.0,618.0,33.0,30.0,185.0,97.0,465.0,6.0,17.0,5.0,67.0,35.0,60.0,768.0,575.0,23.0,7.0,71.0,179.0,44.0,14.0,549.0,9.0,17.0,0.0,15.0,23.0,68.0,81.0,494.0,21.0,9.0,27.0,167.0,13.0,68.0,28.0,7.0,56.0,72.0,0.0,34.0,25.0,74.0,5.0,0.0
determiner_noun_agreement_with_adj_2,20.0,0.0,20.0,7.0,667.0,171.0,162.0,11.0,30.0,13.0,13.0,59.0,579.0,4.0,19.0,25.0,22.0,4.0,31.0,37.0,17.0,0.0,536.0,39.0,28.0,180.0,85.0,494.0,4.0,25.0,7.0,59.0,25.0,31.0,575.0,768.0,20.0,9.0,74.0,217.0,57.0,8.0,520.0,10.0,14.0,0.0,15.0,29.0,54.0,70.0,579.0,20.0,13.0,21.0,182.0,13.0,67.0,30.0,6.0,68.0,90.0,0.0,24.0,25.0,60.0,8.0,0.0
animate_subject_passive,24.0,11.0,8.0,4.0,19.0,9.0,3.0,15.0,8.0,18.0,15.0,19.0,21.0,16.0,4.0,8.0,4.0,21.0,25.0,10.0,38.0,15.0,18.0,8.0,31.0,3.0,9.0,11.0,12.0,12.0,16.0,31.0,19.0,20.0,23.0,20.0,768.0,67.0,4.0,7.0,22.0,21.0,20.0,18.0,11.0,14.0,21.0,8.0,61.0,14.0,22.0,7.0,4.0,8.0,5.0,46.0,23.0,5.0,13.0,23.0,12.0,14.0,3.0,12.0,34.0,18.0,24.0
anaphor_gender_agreement,8.0,0.0,29.0,0.0,7.0,10.0,7.0,7.0,2.0,9.0,7.0,8.0,7.0,3.0,4.0,19.0,20.0,6.0,4.0,6.0,1.0,16.0,6.0,6.0,9.0,5.0,27.0,3.0,5.0,3.0,29.0,12.0,4.0,4.0,7.0,9.0,67.0,768.0,11.0,10.0,12.0,8.0,5.0,17.0,2.0,20.0,67.0,4.0,14.0,16.0,6.0,9.0,3.0,22.0,6.0,14.0,7.0,3.0,4.0,14.0,16.0,9.0,10.0,12.0,8.0,5.0,15.0
irregular_past_participle_adjectives,5.0,16.0,24.0,9.0,73.0,146.0,92.0,8.0,20.0,10.0,15.0,18.0,82.0,2.0,12.0,9.0,17.0,4.0,8.0,26.0,3.0,11.0,71.0,47.0,10.0,91.0,52.0,91.0,15.0,8.0,6.0,37.0,4.0,37.0,71.0,74.0,4.0,11.0,768.0,134.0,27.0,7.0,79.0,25.0,4.0,8.0,11.0,11.0,7.0,44.0,80.0,20.0,4.0,8.0,123.0,1.0,29.0,14.0,0.0,21.0,37.0,10.0,19.0,13.0,5.0,2.0,9.0
regular_plural_subject_verb_agreement_2,10.0,9.0,47.0,9.0,208.0,576.0,290.0,0.0,9.0,18.0,18.0,58.0,188.0,0.0,12.0,24.0,21.0,0.0,6.0,42.0,0.0,2.0,172.0,68.0,23.0,348.0,153.0,161.0,1.0,13.0,0.0,55.0,13.0,36.0,179.0,217.0,7.0,10.0,134.0,768.0,49.0,1.0,156.0,3.0,8.0,0.0,11.0,8.0,31.0,49.0,183.0,20.0,0.0,19.0,443.0,0.0,50.0,26.0,1.0,51.0,100.0,6.0,11.0,6.0,22.0,0.0,0.0
drop_argument,61.0,2.0,5.0,23.0,57.0,58.0,70.0,15.0,21.0,26.0,4.0,27.0,69.0,10.0,14.0,20.0,11.0,14.0,40.0,33.0,24.0,5.0,54.0,24.0,39.0,24.0,26.0,42.0,6.0,14.0,8.0,19.0,38.0,31.0,44.0,57.0,22.0,12.0,27.0,49.0,768.0,13.0,45.0,17.0,24.0,0.0,13.0,28.0,46.0,12.0,60.0,2.0,7.0,31.0,31.0,22.0,353.0,19.0,11.0,225.0,37.0,18.0,53.0,88.0,19.0,25.0,0.0
wh_questions_subject_gap,26.0,10.0,2.0,14.0,8.0,3.0,4.0,259.0,9.0,82.0,31.0,38.0,11.0,4.0,2.0,18.0,19.0,96.0,13.0,20.0,27.0,8.0,13.0,3.0,108.0,0.0,6.0,7.0,23.0,13.0,11.0,18.0,17.0,18.0,14.0,8.0,21.0,8.0,7.0,1.0,13.0,768.0,12.0,25.0,11.0,2.0,7.0,24.0,44.0,13.0,9.0,1.0,4.0,17.0,2.0,17.0,16.0,24.0,14.0,14.0,6.0,28.0,8.0,14.0,14.0,17.0,12.0
determiner_noun_agreement_irregular_2,13.0,0.0,19.0,6.0,535.0,133.0,131.0,9.0,36.0,12.0,18.0,49.0,541.0,3.0,4.0,34.0,30.0,4.0,27.0,41.0,25.0,0.0,527.0,26.0,22.0,153.0,97.0,527.0,2.0,28.0,4.0,59.0,33.0,46.0,549.0,520.0,20.0,5.0,79.0,156.0,45.0,12.0,768.0,8.0,17.0,0.0,14.0,17.0,69.0,62.0,552.0,17.0,10.0,29.0,146.0,17.0,64.0,29.0,8.0,55.0,84.0,0.0,41.0,32.0,69.0,4.0,0.0
superlative_quantifiers_2,19.0,14.0,0.0,1.0,8.0,3.0,2.0,26.0,8.0,17.0,0.0,14.0,4.0,16.0,1.0,35.0,4.0,21.0,1.0,7.0,12.0,7.0,7.0,8.0,11.0,0.0,2.0,6.0,22.0,1.0,31.0,15.0,10.0,21.0,9.0,10.0,18.0,17.0,25.0,3.0,17.0,25.0,8.0,768.0,4.0,7.0,4.0,15.0,21.0,15.0,5.0,1.0,17.0,31.0,0.0,23.0,18.0,1.0,5.0,6.0,6.0,19.0,8.0,13.0,1.0,16.0,11.0
