,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
sentential_negation_npi_licensor_present,3.0,8.0,1.0,16.0,24.0,20.0,34.0,27.0,13.0,59.0,983.0,20.0,32.0,11.0,86.0,19.0,13.0,15.0,35.0,18.0,18.0,36.0,17.0,13.0,58.0,20.0,19.0,25.0,16.0,13.0,27.0,27.0,29.0,38.0,17.0,25.0,25.0,5.0,5.0,16.0,26.0,37.0,33.0,1.0,22.0,3.0,24.0,32.0,56.0,27.0,30.0,10.0,11.0,9.0,20.0,7.0,45.0,333.0,8.0,47.0,35.0,14.0,29.0,31.0,35.0,14.0,28.0
principle_A_case_2,15.0,50.0,278.0,33.0,365.0,303.0,348.0,14.0,46.0,148.0,20.0,983.0,317.0,1.0,18.0,27.0,10.0,18.0,72.0,125.0,6.0,19.0,344.0,224.0,128.0,338.0,307.0,309.0,6.0,31.0,90.0,138.0,21.0,96.0,360.0,374.0,18.0,77.0,215.0,332.0,85.0,137.0,300.0,36.0,34.0,0.0,19.0,127.0,234.0,143.0,332.0,23.0,3.0,20.0,355.0,3.0,162.0,23.0,5.0,140.0,52.0,9.0,46.0,167.0,110.0,1.0,17.0
determiner_noun_agreement_2,7.0,54.0,230.0,33.0,727.0,355.0,386.0,14.0,50.0,123.0,32.0,317.0,983.0,2.0,26.0,38.0,5.0,19.0,93.0,90.0,27.0,18.0,643.0,179.0,106.0,387.0,283.0,707.0,6.0,37.0,64.0,208.0,48.0,58.0,639.0,712.0,47.0,51.0,283.0,387.0,113.0,119.0,742.0,36.0,17.0,0.0,15.0,127.0,235.0,116.0,864.0,43.0,4.0,25.0,397.0,2.0,260.0,18.0,2.0,201.0,48.0,6.0,60.0,247.0,108.0,2.0,19.0
principle_A_reconstruction,49.0,72.0,0.0,4.0,2.0,0.0,0.0,14.0,56.0,5.0,11.0,1.0,2.0,983.0,10.0,14.0,32.0,249.0,4.0,8.0,21.0,19.0,2.0,3.0,7.0,0.0,0.0,3.0,39.0,1.0,0.0,43.0,52.0,4.0,2.0,1.0,15.0,20.0,7.0,0.0,14.0,10.0,2.0,30.0,95.0,57.0,17.0,17.0,3.0,1.0,1.0,3.0,26.0,14.0,0.0,40.0,3.0,8.0,286.0,5.0,42.0,22.0,6.0,7.0,9.0,21.0,18.0
existential_there_quantifiers_1,18.0,14.0,12.0,12.0,19.0,13.0,16.0,25.0,24.0,15.0,86.0,18.0,26.0,10.0,983.0,36.0,26.0,15.0,28.0,26.0,18.0,20.0,13.0,30.0,21.0,16.0,30.0,19.0,12.0,8.0,21.0,31.0,14.0,21.0,15.0,17.0,35.0,8.0,13.0,9.0,36.0,27.0,28.0,5.0,27.0,32.0,39.0,42.0,46.0,36.0,26.0,12.0,11.0,24.0,20.0,46.0,32.0,51.0,14.0,36.0,28.0,19.0,29.0,24.0,24.0,13.0,21.0
npi_present_2,9.0,22.0,31.0,8.0,31.0,35.0,30.0,25.0,16.0,34.0,19.0,27.0,38.0,14.0,36.0,983.0,14.0,19.0,41.0,49.0,14.0,8.0,33.0,28.0,47.0,41.0,52.0,33.0,20.0,16.0,56.0,39.0,19.0,21.0,32.0,30.0,24.0,18.0,30.0,34.0,37.0,37.0,36.0,55.0,11.0,11.0,21.0,54.0,53.0,46.0,35.0,18.0,13.0,531.0,37.0,22.0,31.0,31.0,11.0,36.0,57.0,18.0,15.0,28.0,51.0,18.0,22.0
wh_island,37.0,28.0,3.0,9.0,5.0,1.0,3.0,18.0,52.0,10.0,13.0,10.0,5.0,32.0,26.0,14.0,983.0,36.0,16.0,15.0,32.0,11.0,5.0,17.0,16.0,5.0,8.0,6.0,17.0,13.0,9.0,5.0,19.0,19.0,4.0,5.0,12.0,13.0,6.0,1.0,15.0,22.0,6.0,12.0,67.0,28.0,17.0,15.0,10.0,12.0,7.0,6.0,14.0,14.0,5.0,33.0,14.0,21.0,28.0,12.0,30.0,94.0,17.0,6.0,10.0,18.0,22.0
wh_questions_object_gap,55.0,70.0,8.0,1.0,18.0,7.0,19.0,78.0,91.0,41.0,15.0,18.0,19.0,249.0,15.0,19.0,36.0,983.0,9.0,12.0,10.0,22.0,16.0,17.0,67.0,12.0,14.0,12.0,34.0,5.0,9.0,56.0,68.0,18.0,15.0,16.0,29.0,23.0,15.0,8.0,18.0,125.0,17.0,34.0,60.0,55.0,17.0,22.0,26.0,17.0,17.0,17.0,31.0,23.0,13.0,67.0,21.0,13.0,168.0,17.0,52.0,27.0,8.0,10.0,10.0,24.0,34.0
tough_vs_raising_1,27.0,10.0,49.0,21.0,90.0,48.0,49.0,26.0,22.0,49.0,35.0,72.0,93.0,4.0,28.0,41.0,16.0,9.0,983.0,74.0,29.0,12.0,78.0,27.0,34.0,52.0,54.0,79.0,9.0,21.0,53.0,92.0,24.0,2.0,79.0,88.0,36.0,24.0,42.0,47.0,66.0,41.0,83.0,20.0,8.0,0.0,7.0,48.0,103.0,40.0,91.0,29.0,6.0,38.0,49.0,4.0,110.0,26.0,3.0,98.0,18.0,10.0,52.0,126.0,64.0,7.0,11.0
passive_1,10.0,29.0,84.0,30.0,94.0,90.0,74.0,20.0,22.0,51.0,18.0,125.0,90.0,8.0,26.0,49.0,15.0,12.0,74.0,983.0,8.0,16.0,93.0,45.0,60.0,105.0,140.0,77.0,12.0,35.0,90.0,224.0,20.0,24.0,87.0,94.0,24.0,42.0,55.0,87.0,58.0,61.0,88.0,15.0,21.0,0.0,30.0,94.0,224.0,112.0,90.0,10.0,7.0,43.0,100.0,3.0,51.0,17.0,12.0,56.0,60.0,17.0,29.0,50.0,63.0,13.0,10.0
ellipsis_n_bar_2,63.0,58.0,1.0,9.0,13.0,1.0,0.0,22.0,23.0,21.0,18.0,6.0,27.0,21.0,18.0,14.0,32.0,10.0,29.0,8.0,983.0,23.0,11.0,2.0,10.0,0.0,4.0,16.0,21.0,2.0,3.0,14.0,84.0,17.0,12.0,13.0,56.0,31.0,27.0,1.0,25.0,19.0,27.0,21.0,20.0,52.0,20.0,16.0,29.0,8.0,21.0,17.0,19.0,24.0,0.0,42.0,31.0,7.0,6.0,26.0,31.0,28.0,18.0,35.0,25.0,23.0,31.0
only_npi_scope,14.0,16.0,3.0,10.0,11.0,1.0,10.0,12.0,7.0,24.0,36.0,19.0,18.0,19.0,20.0,8.0,11.0,22.0,12.0,16.0,23.0,983.0,11.0,11.0,18.0,3.0,3.0,16.0,38.0,10.0,7.0,9.0,39.0,11.0,14.0,8.0,28.0,14.0,8.0,3.0,12.0,12.0,18.0,10.0,13.0,9.0,20.0,13.0,16.0,12.0,17.0,5.0,39.0,10.0,4.0,28.0,12.0,34.0,18.0,13.0,15.0,11.0,19.0,20.0,22.0,9.0,247.0
determiner_noun_agreement_with_adj_irregular_1,2.0,55.0,297.0,32.0,756.0,392.0,433.0,6.0,45.0,90.0,17.0,344.0,643.0,2.0,13.0,33.0,5.0,16.0,78.0,93.0,11.0,11.0,983.0,204.0,86.0,454.0,300.0,685.0,2.0,44.0,54.0,171.0,32.0,56.0,836.0,762.0,35.0,70.0,310.0,434.0,101.0,98.0,693.0,33.0,8.0,0.0,10.0,131.0,198.0,103.0,675.0,29.0,2.0,15.0,452.0,1.0,236.0,8.0,1.0,196.0,27.0,7.0,42.0,203.0,97.0,2.0,13.0
existential_there_subject_raising,0.0,44.0,202.0,37.0,206.0,228.0,268.0,18.0,44.0,112.0,13.0,224.0,179.0,3.0,30.0,28.0,17.0,17.0,27.0,45.0,2.0,11.0,204.0,983.0,89.0,230.0,204.0,188.0,5.0,31.0,86.0,101.0,23.0,146.0,198.0,217.0,17.0,33.0,166.0,232.0,45.0,73.0,176.0,20.0,49.0,0.0,12.0,86.0,118.0,139.0,189.0,41.0,0.0,9.0,257.0,2.0,105.0,39.0,8.0,113.0,21.0,18.0,20.0,80.0,58.0,3.0,2.0
wh_vs_that_no_gap,9.0,15.0,66.0,17.0,93.0,74.0,116.0,97.0,36.0,488.0,58.0,128.0,106.0,7.0,21.0,47.0,16.0,67.0,34.0,60.0,10.0,18.0,86.0,89.0,983.0,91.0,83.0,100.0,7.0,17.0,86.0,56.0,28.0,97.0,94.0,98.0,21.0,13.0,59.0,82.0,39.0,258.0,97.0,26.0,8.0,1.0,32.0,74.0,79.0,73.0,108.0,19.0,10.0,46.0,89.0,5.0,81.0,69.0,16.0,63.0,61.0,15.0,0.0,17.0,40.0,19.0,6.0
distractor_agreement_relational_noun,4.0,100.0,394.0,55.0,453.0,503.0,531.0,8.0,39.0,97.0,20.0,338.0,387.0,0.0,16.0,41.0,5.0,12.0,52.0,105.0,0.0,3.0,454.0,230.0,91.0,983.0,421.0,429.0,2.0,49.0,63.0,151.0,24.0,57.0,461.0,465.0,15.0,102.0,316.0,529.0,81.0,89.0,399.0,32.0,9.0,0.0,20.0,174.0,196.0,132.0,410.0,22.0,0.0,23.0,635.0,1.0,190.0,11.0,0.0,154.0,46.0,4.0,25.0,159.0,91.0,0.0,6.0
regular_plural_subject_verb_agreement_1,4.0,64.0,331.0,29.0,309.0,425.0,322.0,10.0,32.0,95.0,19.0,307.0,283.0,0.0,30.0,52.0,8.0,14.0,54.0,140.0,4.0,3.0,300.0,204.0,83.0,421.0,983.0,280.0,4.0,34.0,70.0,152.0,20.0,48.0,303.0,313.0,20.0,113.0,238.0,410.0,130.0,88.0,270.0,49.0,19.0,0.0,64.0,171.0,265.0,150.0,299.0,27.0,0.0,33.0,479.0,1.0,198.0,10.0,1.0,192.0,78.0,6.0,18.0,119.0,159.0,5.0,5.0
determiner_noun_agreement_irregular_1,6.0,48.0,270.0,28.0,684.0,382.0,410.0,5.0,45.0,109.0,25.0,309.0,707.0,3.0,19.0,33.0,6.0,12.0,79.0,77.0,16.0,16.0,685.0,188.0,100.0,429.0,280.0,983.0,6.0,37.0,68.0,181.0,43.0,62.0,694.0,701.0,32.0,54.0,320.0,413.0,102.0,90.0,767.0,37.0,8.0,0.0,15.0,124.0,199.0,118.0,736.0,36.0,2.0,17.0,434.0,0.0,240.0,12.0,0.0,193.0,48.0,2.0,50.0,233.0,88.0,1.0,14.0
superlative_quantifiers_1,42.0,36.0,4.0,9.0,5.0,1.0,6.0,17.0,25.0,9.0,16.0,6.0,6.0,39.0,12.0,20.0,17.0,34.0,9.0,12.0,21.0,38.0,2.0,5.0,7.0,2.0,4.0,6.0,983.0,3.0,2.0,17.0,40.0,12.0,2.0,4.0,14.0,29.0,12.0,1.0,15.0,12.0,5.0,18.0,24.0,61.0,12.0,14.0,12.0,4.0,6.0,6.0,25.0,20.0,0.0,55.0,6.0,28.0,17.0,7.0,36.0,17.0,2.0,7.0,5.0,35.0,46.0
principle_A_domain_3,1.0,32.0,53.0,372.0,49.0,46.0,33.0,7.0,9.0,17.0,13.0,31.0,37.0,1.0,8.0,16.0,13.0,5.0,21.0,35.0,2.0,10.0,44.0,31.0,17.0,49.0,34.0,37.0,3.0,983.0,47.0,26.0,6.0,25.0,50.0,45.0,16.0,34.0,24.0,44.0,18.0,12.0,33.0,6.0,9.0,0.0,17.0,38.0,32.0,24.0,42.0,14.0,3.0,9.0,34.0,2.0,21.0,10.0,5.0,15.0,3.0,4.0,10.0,12.0,32.0,4.0,17.0
expletive_it_object_raising,1.0,6.0,64.0,38.0,59.0,58.0,74.0,11.0,22.0,93.0,27.0,90.0,64.0,0.0,21.0,56.0,9.0,9.0,53.0,90.0,3.0,7.0,54.0,86.0,86.0,63.0,70.0,68.0,2.0,47.0,983.0,52.0,6.0,62.0,60.0,64.0,29.0,33.0,55.0,58.0,36.0,41.0,60.0,21.0,8.0,0.0,43.0,53.0,129.0,368.0,65.0,23.0,0.0,28.0,63.0,1.0,57.0,24.0,2.0,57.0,11.0,8.0,5.0,25.0,38.0,4.0,7.0
passive_2,14.0,55.0,132.0,30.0,187.0,161.0,147.0,24.0,38.0,58.0,27.0,138.0,208.0,43.0,31.0,39.0,5.0,56.0,92.0,224.0,14.0,9.0,171.0,101.0,56.0,151.0,152.0,181.0,17.0,26.0,52.0,983.0,42.0,31.0,174.0,177.0,55.0,46.0,115.0,160.0,62.0,57.0,185.0,24.0,46.0,7.0,18.0,86.0,221.0,92.0,203.0,13.0,13.0,33.0,163.0,11.0,112.0,14.0,43.0,95.0,64.0,27.0,31.0,102.0,77.0,15.0,12.0
ellipsis_n_bar_1,38.0,39.0,10.0,9.0,40.0,17.0,36.0,31.0,32.0,31.0,29.0,21.0,48.0,52.0,14.0,19.0,19.0,68.0,24.0,20.0,84.0,39.0,32.0,23.0,28.0,24.0,20.0,43.0,40.0,6.0,6.0,42.0,983.0,36.0,38.0,39.0,38.0,26.0,34.0,17.0,39.0,40.0,45.0,31.0,33.0,40.0,15.0,23.0,41.0,16.0,44.0,26.0,40.0,27.0,18.0,65.0,49.0,17.0,32.0,36.0,43.0,24.0,19.0,43.0,27.0,32.0,40.0
tough_vs_raising_2,8.0,17.0,58.0,36.0,54.0,61.0,96.0,10.0,34.0,80.0,38.0,96.0,58.0,4.0,21.0,21.0,19.0,18.0,2.0,24.0,17.0,11.0,56.0,146.0,97.0,57.0,48.0,62.0,12.0,25.0,62.0,31.0,36.0,983.0,61.0,57.0,14.0,10.0,49.0,57.0,28.0,49.0,55.0,8.0,19.0,0.0,13.0,41.0,38.0,95.0,53.0,17.0,7.0,21.0,57.0,2.0,40.0,71.0,10.0,40.0,27.0,19.0,35.0,26.0,27.0,20.0,11.0
determiner_noun_agreement_with_adj_irregular_2,1.0,56.0,314.0,35.0,773.0,426.0,440.0,5.0,48.0,100.0,17.0,360.0,639.0,2.0,15.0,32.0,4.0,15.0,79.0,87.0,12.0,14.0,836.0,198.0,94.0,461.0,303.0,694.0,2.0,50.0,60.0,174.0,38.0,61.0,983.0,787.0,33.0,73.0,323.0,473.0,107.0,102.0,703.0,36.0,10.0,0.0,12.0,131.0,204.0,104.0,676.0,36.0,1.0,16.0,477.0,0.0,242.0,4.0,1.0,193.0,29.0,5.0,39.0,208.0,102.0,3.0,11.0
determiner_noun_agreement_with_adj_2,4.0,59.0,312.0,31.0,858.0,424.0,469.0,9.0,47.0,109.0,25.0,374.0,712.0,1.0,17.0,30.0,5.0,16.0,88.0,94.0,13.0,8.0,762.0,217.0,98.0,465.0,313.0,701.0,4.0,45.0,64.0,177.0,39.0,57.0,787.0,983.0,34.0,64.0,336.0,467.0,105.0,117.0,689.0,35.0,9.0,0.0,8.0,131.0,215.0,115.0,753.0,40.0,1.0,17.0,482.0,2.0,245.0,15.0,1.0,196.0,30.0,7.0,47.0,230.0,97.0,2.0,12.0
animate_subject_passive,31.0,16.0,3.0,5.0,33.0,12.0,9.0,21.0,19.0,19.0,25.0,18.0,47.0,15.0,35.0,24.0,12.0,29.0,36.0,24.0,56.0,28.0,35.0,17.0,21.0,15.0,20.0,32.0,14.0,16.0,29.0,55.0,38.0,14.0,33.0,34.0,983.0,72.0,15.0,10.0,39.0,31.0,44.0,18.0,18.0,28.0,68.0,29.0,96.0,24.0,42.0,11.0,18.0,24.0,10.0,36.0,35.0,17.0,20.0,35.0,36.0,21.0,19.0,25.0,40.0,17.0,31.0
anaphor_gender_agreement,51.0,21.0,144.0,11.0,60.0,93.0,62.0,7.0,15.0,16.0,5.0,77.0,51.0,20.0,8.0,18.0,13.0,23.0,24.0,42.0,31.0,14.0,70.0,33.0,13.0,102.0,113.0,54.0,29.0,34.0,33.0,46.0,26.0,10.0,73.0,64.0,72.0,983.0,57.0,84.0,51.0,16.0,52.0,30.0,10.0,58.0,90.0,49.0,83.0,38.0,53.0,6.0,25.0,6.0,93.0,57.0,46.0,4.0,22.0,46.0,47.0,13.0,1.0,23.0,33.0,9.0,19.0
irregular_past_participle_adjectives,15.0,54.0,220.0,20.0,314.0,301.0,299.0,7.0,35.0,72.0,5.0,215.0,283.0,7.0,13.0,30.0,6.0,15.0,42.0,55.0,27.0,8.0,310.0,166.0,59.0,316.0,238.0,320.0,12.0,24.0,55.0,115.0,34.0,49.0,323.0,336.0,15.0,57.0,983.0,316.0,78.0,83.0,303.0,31.0,3.0,18.0,9.0,113.0,132.0,111.0,304.0,32.0,21.0,21.0,346.0,11.0,144.0,7.0,6.0,126.0,23.0,5.0,14.0,111.0,51.0,7.0,11.0
regular_plural_subject_verb_agreement_2,0.0,89.0,378.0,42.0,455.0,798.0,447.0,4.0,34.0,96.0,16.0,332.0,387.0,0.0,9.0,34.0,1.0,8.0,47.0,87.0,1.0,3.0,434.0,232.0,82.0,529.0,410.0,413.0,1.0,44.0,58.0,160.0,17.0,57.0,473.0,467.0,10.0,84.0,316.0,983.0,108.0,79.0,404.0,39.0,14.0,0.0,15.0,142.0,180.0,115.0,412.0,21.0,2.0,14.0,621.0,1.0,207.0,7.0,0.0,175.0,35.0,2.0,26.0,171.0,96.0,0.0,1.0
drop_argument,43.0,32.0,76.0,24.0,111.0,119.0,90.0,13.0,18.0,38.0,26.0,85.0,113.0,14.0,36.0,37.0,15.0,18.0,66.0,58.0,25.0,12.0,101.0,45.0,39.0,81.0,130.0,102.0,15.0,18.0,36.0,62.0,39.0,28.0,107.0,105.0,39.0,51.0,78.0,108.0,983.0,58.0,109.0,26.0,19.0,14.0,48.0,88.0,137.0,59.0,118.0,24.0,32.0,26.0,105.0,34.0,335.0,9.0,23.0,221.0,77.0,16.0,27.0,104.0,111.0,14.0,18.0
wh_questions_subject_gap,18.0,32.0,77.0,12.0,115.0,72.0,121.0,221.0,41.0,210.0,37.0,137.0,119.0,10.0,27.0,37.0,22.0,125.0,41.0,61.0,19.0,12.0,98.0,73.0,258.0,89.0,88.0,90.0,12.0,12.0,41.0,57.0,40.0,49.0,102.0,117.0,31.0,16.0,83.0,79.0,58.0,983.0,99.0,31.0,22.0,3.0,11.0,67.0,125.0,64.0,118.0,28.0,8.0,39.0,92.0,16.0,82.0,42.0,11.0,72.0,55.0,20.0,5.0,34.0,59.0,26.0,14.0
determiner_noun_agreement_irregular_2,6.0,48.0,241.0,27.0,680.0,365.0,402.0,8.0,51.0,113.0,33.0,300.0,742.0,2.0,28.0,36.0,6.0,17.0,83.0,88.0,27.0,18.0,693.0,176.0,97.0,399.0,270.0,767.0,5.0,33.0,60.0,185.0,45.0,55.0,703.0,689.0,44.0,52.0,303.0,404.0,109.0,99.0,983.0,36.0,20.0,0.0,19.0,125.0,207.0,108.0,768.0,39.0,5.0,24.0,410.0,2.0,249.0,15.0,1.0,196.0,43.0,6.0,51.0,234.0,102.0,3.0,18.0
superlative_quantifiers_2,21.0,14.0,29.0,6.0,36.0,39.0,30.0,37.0,18.0,26.0,1.0,36.0,36.0,30.0,5.0,55.0,12.0,34.0,20.0,15.0,21.0,10.0,33.0,20.0,26.0,32.0,49.0,37.0,18.0,6.0,21.0,24.0,31.0,8.0,36.0,35.0,18.0,30.0,31.0,39.0,26.0,31.0,36.0,983.0,11.0,20.0,20.0,15.0,35.0,20.0,32.0,14.0,83.0,62.0,33.0,26.0,34.0,6.0,15.0,40.0,20.0,14.0,10.0,33.0,17.0,23.0,35.0
