,definiteness_every,cl_simple_noun,cl_comp_noun_v2,zai_le,temporal_le,menself_female,dem_cl_swap,cl_self_male,self_male,cl_comp_noun,cl_adj_comp_noun_v2,temporal_guo,menself_male,bare_wh,zai_no_le,pp_male,any,rc_resumptive_pronoun,self_female,zai_guo,mod_wh,rc_resumptive_noun,pp_female,cl_men_self_female,cl_self_female,cl_men_self_male,definiteness_demonstrative,even_wh,cl_adj_simple_noun,haishi_ma,more_or_less,cl_adj_comp_noun
menself_male,1.0,10.0,6.0,13.0,17.0,185.0,9.0,564.0,5.0,1.0,5.0,21.0,870.0,21.0,4.0,2.0,4.0,3.0,131.0,5.0,4.0,4.0,83.0,174.0,173.0,553.0,6.0,10.0,2.0,10.0,18.0,7.0
bare_wh,4.0,10.0,14.0,44.0,2.0,35.0,13.0,30.0,23.0,3.0,10.0,4.0,21.0,870.0,12.0,35.0,2.0,31.0,44.0,4.0,191.0,10.0,22.0,34.0,30.0,25.0,23.0,0.0,13.0,7.0,10.0,10.0
zai_no_le,23.0,15.0,8.0,23.0,8.0,7.0,16.0,7.0,7.0,15.0,12.0,17.0,4.0,12.0,870.0,6.0,5.0,18.0,0.0,374.0,19.0,40.0,1.0,6.0,9.0,5.0,29.0,6.0,36.0,29.0,29.0,5.0
pp_male,35.0,3.0,0.0,16.0,5.0,77.0,12.0,5.0,276.0,4.0,0.0,5.0,2.0,35.0,6.0,870.0,4.0,41.0,3.0,3.0,21.0,12.0,2.0,82.0,68.0,3.0,48.0,3.0,4.0,15.0,12.0,2.0
any,36.0,7.0,31.0,6.0,13.0,5.0,20.0,5.0,5.0,17.0,28.0,22.0,4.0,2.0,5.0,4.0,870.0,8.0,13.0,16.0,8.0,17.0,10.0,7.0,8.0,6.0,8.0,304.0,26.0,4.0,1.0,19.0
rc_resumptive_pronoun,21.0,18.0,32.0,25.0,20.0,24.0,41.0,3.0,76.0,12.0,35.0,15.0,3.0,31.0,18.0,41.0,8.0,870.0,5.0,10.0,23.0,124.0,2.0,23.0,24.0,7.0,51.0,3.0,36.0,26.0,24.0,11.0
self_female,24.0,14.0,3.0,27.0,12.0,20.0,2.0,157.0,0.0,3.0,1.0,25.0,131.0,44.0,0.0,3.0,13.0,5.0,870.0,1.0,11.0,4.0,324.0,19.0,18.0,133.0,12.0,15.0,12.0,14.0,6.0,16.0
zai_guo,29.0,32.0,15.0,16.0,5.0,1.0,51.0,7.0,4.0,26.0,21.0,5.0,5.0,4.0,374.0,3.0,16.0,10.0,1.0,870.0,6.0,32.0,0.0,6.0,3.0,8.0,27.0,20.0,49.0,14.0,36.0,14.0
mod_wh,10.0,6.0,6.0,46.0,2.0,13.0,10.0,4.0,14.0,7.0,7.0,4.0,4.0,191.0,19.0,21.0,8.0,23.0,11.0,6.0,870.0,25.0,12.0,7.0,9.0,5.0,21.0,3.0,5.0,57.0,15.0,5.0
rc_resumptive_noun,52.0,69.0,110.0,18.0,37.0,0.0,26.0,4.0,7.0,33.0,89.0,62.0,4.0,10.0,40.0,12.0,17.0,124.0,4.0,32.0,25.0,870.0,9.0,2.0,2.0,12.0,32.0,24.0,71.0,10.0,38.0,27.0
pp_female,18.0,9.0,4.0,17.0,12.0,14.0,0.0,96.0,6.0,7.0,4.0,16.0,83.0,22.0,1.0,2.0,10.0,2.0,324.0,0.0,12.0,9.0,870.0,12.0,16.0,82.0,10.0,18.0,10.0,5.0,5.0,12.0
cl_men_self_female,20.0,10.0,5.0,18.0,14.0,588.0,6.0,187.0,104.0,1.0,5.0,16.0,174.0,34.0,6.0,82.0,7.0,23.0,19.0,6.0,7.0,2.0,12.0,870.0,615.0,214.0,25.0,10.0,3.0,19.0,6.0,5.0
cl_self_female,20.0,12.0,7.0,15.0,19.0,578.0,6.0,192.0,95.0,1.0,5.0,20.0,173.0,30.0,9.0,68.0,8.0,24.0,18.0,3.0,9.0,2.0,16.0,615.0,870.0,180.0,24.0,13.0,6.0,17.0,4.0,8.0
cl_men_self_male,1.0,10.0,11.0,16.0,15.0,148.0,7.0,624.0,6.0,1.0,8.0,18.0,553.0,25.0,5.0,3.0,6.0,7.0,133.0,8.0,5.0,12.0,82.0,214.0,180.0,870.0,9.0,13.0,5.0,10.0,11.0,7.0
definiteness_demonstrative,154.0,23.0,34.0,17.0,7.0,26.0,32.0,9.0,31.0,22.0,19.0,20.0,6.0,23.0,29.0,48.0,8.0,51.0,12.0,27.0,21.0,32.0,10.0,25.0,24.0,9.0,870.0,4.0,21.0,10.0,28.0,5.0
even_wh,21.0,11.0,39.0,4.0,16.0,9.0,14.0,9.0,5.0,14.0,34.0,19.0,10.0,0.0,6.0,3.0,304.0,3.0,15.0,20.0,3.0,24.0,18.0,10.0,13.0,13.0,4.0,870.0,18.0,2.0,0.0,19.0
cl_adj_simple_noun,83.0,308.0,177.0,2.0,23.0,4.0,144.0,5.0,2.0,94.0,186.0,69.0,2.0,13.0,36.0,4.0,26.0,36.0,12.0,49.0,5.0,71.0,10.0,3.0,6.0,5.0,21.0,18.0,870.0,10.0,57.0,75.0
haishi_ma,9.0,2.0,2.0,28.0,8.0,23.0,14.0,18.0,15.0,1.0,6.0,0.0,10.0,7.0,29.0,15.0,4.0,26.0,14.0,14.0,57.0,10.0,5.0,19.0,17.0,10.0,10.0,2.0,10.0,870.0,10.0,0.0
more_or_less,55.0,45.0,49.0,14.0,15.0,3.0,30.0,14.0,4.0,24.0,29.0,31.0,18.0,10.0,29.0,12.0,1.0,24.0,6.0,36.0,15.0,38.0,5.0,6.0,4.0,11.0,28.0,0.0,57.0,10.0,870.0,20.0
cl_adj_comp_noun,40.0,39.0,117.0,2.0,29.0,4.0,30.0,2.0,6.0,111.0,174.0,50.0,7.0,10.0,5.0,2.0,19.0,11.0,16.0,14.0,5.0,27.0,12.0,5.0,8.0,7.0,5.0,19.0,75.0,0.0,20.0,870.0
